Isolate,prediction by LogR,prediction by gNB,prediction by SVM,prediction by DT,prediction by RF,prediction by KNN,prediction by LDA,prediction by mNB,prediction by ABC,prediction by GBC,prediction by ETC,prediction by BC
SAMN19845175,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845176,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845177,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845178,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845179,1,1,1,1,1,1,0,1,0,1,1,1
SAMN19845180,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845181,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845182,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845183,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845184,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845185,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845186,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845187,1,1,1,1,1,1,1,0,1,1,1,1
SAMN19845188,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845189,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845190,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845191,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845192,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845193,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845194,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845195,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845196,0,1,0,1,1,0,0,1,0,1,1,1
SAMN19845197,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845198,1,1,1,0,0,1,0,1,0,1,1,0
SAMN19845199,1,1,1,1,1,0,0,1,1,1,1,1
SAMN19845200,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845201,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845202,0,1,1,1,1,1,0,1,0,1,1,1
SAMN19845203,1,1,1,1,1,1,1,1,1,1,1,1
